Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
hepplewhite-style-demilune-commode,Hepplewhite Style Demilune Commode,"<p>Demilune Commode by Williamsport Furniture Company (plaque inside drawer) Early 20th century, suspected mahogany veneer with a later applied faux finish, cabriole legs, hepplewhite s...</p><p><strong>Category:</strong> Early 20th Century American Hepplewhite Commodes and Chests of Drawers</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,20th Century,TRUE,Title,Default Title,,,,,ANT-DECORATIVE-001,5000,shopify,1,deny,manual,4800,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/17_13/demilune2/DemiLune2_l.jpg?width=2000&quality=90,1,Hepplewhite Style Demilune Commode,FALSE,Hepplewhite Style Demilune Commode | Antique Furniture Co.,"Demilune Commode by Williamsport Furniture Company (plaque inside drawer) Early 20th century, suspected mahogany veneer with a later applied faux finish, c",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
hepplewhite-style-demilune-commode,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/17_13/demilune1/ORG_DemiLune1.jpg?width=2000&quality=90,2,Hepplewhite Style Demilune Commode - Image 2,,,,,,,,,,,,,,,,,,,,
19th-century-french-hand-painted-screen,19th Century French Hand Painted Screen,"<p>19th Century Hand Painted Canvas Four Panel Folding Screen with charming French Provincial scenes on front and stylized stenciled flowers on back, named inscription on side</p><p><strong>Materials:</strong> Wood</p><p><strong>Category:</strong> Antique 19th Century French Country Screens and Room Dividers</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique, French, Wood",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-002,5000,shopify,1,deny,manual,11000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/17_13/1700sscreen2/1700sScreen2_l.jpg?width=2000&quality=90,1,19th Century French Hand Painted Screen,FALSE,19th Century French Hand Painted Screen | Antique Furniture Co.,"19th Century Hand Painted Canvas Four Panel Folding Screen with charming French Provincial scenes on front and stylized stenciled flowers on back, named in",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
19th-century-french-hand-painted-screen,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/17_13/1700sscreen1/ORG_1700sScreen1.jpg?width=2000&quality=90,2,19th Century French Hand Painted Screen - Image 2,,,,,,,,,,,,,,,,,,,,
louis-xvi-settee,Louis XVI Settee,<p>original Rounded sette with cabouchon carved moldings and Louis legs. Nailhead trim on pale oranage waffle checked fabric. Marie Antionette would have adored it!</p><p><strong>Materials:</strong> Wood</p><p><strong>Category:</strong> Antique 18th Century and Earlier French Louis XVI Settees</p>,Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"Antique, 18th Century, French, Wood, Louis",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-003,5000,shopify,1,deny,manual,26000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/49_12/Settee3/Settee3_l.jpg?width=2000&quality=90,1,Louis XVI Settee,FALSE,Louis XVI Settee | Antique Furniture Co.,original Rounded sette with cabouchon carved moldings and Louis legs. Nailhead trim on pale oranage waffle checked fabric. Marie Antionette would have ador,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
louis-xvi-settee,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/395/XXX_8899_1349053941_1.jpg?width=2000&quality=90,2,Louis XVI Settee - Image 2,,,,,,,,,,,,,,,,,,,,
louis-xvi-settee,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/395/XXX_8899_1349053941_1-01.jpg?width=2000&quality=90,3,Louis XVI Settee - Image 3,,,,,,,,,,,,,,,,,,,,
mid-century-cocktail-table-cartouche-shape-mirrored-top,Mid Century Cocktail Table Cartouche Shape Mirrored Top,"<p>Mid Century Cocktail Table, Cartouche with Gold Veined Mirrored Top, hand fashioned and stamped by maker.</p><p><strong>Materials:</strong> Mirror, Wood</p><p><strong>Category:</strong> Vintage 1960s American Rococo Revival Coffee and Cocktail Tables</p>",Antique Furniture Co.,Furniture > Tables,Table,"Mirror, Wood",TRUE,Title,Default Title,,,,,ANT-TABLE-004,25000,shopify,1,deny,manual,2000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/42_13/goldmirrortable6/GoldMirrorTable6_l.jpg?width=2000&quality=90,1,Mid Century Cocktail Table Cartouche Shape Mirrored Top,FALSE,Mid Century Cocktail Table Cartouche Shape Mirrore | Antique Furniture Co.,"Mid Century Cocktail Table, Cartouche with Gold Veined Mirrored Top, hand fashioned and stamped by maker.",Furniture > Tables,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
mid-century-cocktail-table-cartouche-shape-mirrored-top,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/44_13/938580/ORG_938580.jpg?width=2000&quality=90,2,Mid Century Cocktail Table Cartouche Shape Mirrored Top - Image 2,,,,,,,,,,,,,,,,,,,,
pair-of-qing-blue-and-white-vases,Pair of Qing Blue and White Vases,<p>Pair of 20th C. Chinese hand painted blue and white vases with flared rim. These pieces feature alternating and repeating border bands flanking the central body decorated with styliz...</p><p><strong>Category:</strong> Vintage 1940s Chinese Ceramics</p>,Antique Furniture Co.,Home & Garden > Decor > Vases,Decorative Vessel,Chinese,TRUE,Title,Default Title,,,,,ANT-DECORATIVE-005,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/31_13/862965/ORG_862965.jpg?width=2000&quality=90,1,Pair of Qing Blue and White Vases,FALSE,Pair of Qing Blue and White Vases | Antique Furniture Co.,Pair of 20th C. Chinese hand painted blue and white vases with flared rim. These pieces feature alternating and repeating border bands flanking the central,Home & Garden > Decor > Vases,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
