Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
magnificent-shiva-sculpture-hand-crafted-hand-picked-from-jodhpur-india,"Magnificent Shiva Sculpture, Hand-crafted, Hand-picked from Jodhpur, India","<p>Primitive sculpture of painted wood with multiple deities around Shiva. depicts a wooden statue of Trivikrama, a form of Lord Vishnu.
 This statue represents Vishnu in his incarnatio...</p><p><strong>Materials:</strong> Wood</p><p><strong>Category:</strong> Antique 19th Century Indian Anglo Raj More Asian Art, Objects and Furniture</p>",Antique Furniture Co.,Home & Garden > Decor > Artwork > Sculptures & Statues,Sculpture,"Anglo Raj, Asian, Indian, 19th Century, Antique, Wood, Hand-crafted, Magnificent",TRUE,Title,Default Title,,,,,ANT-SCULPTURE-001,15000,shopify,1,deny,manual,10800,,TRUE,TRUE,,https://a.1stdibscdn.com/magnificent-shiva-sculpture-hand-crafted-hand-picked-from-jodhpur-india-for-sale-picture-2/f_8899/f_226657021614135708790/TK_205_master.jpg?width=2000&quality=90,1,"Magnificent Shiva Sculpture, Hand-crafted, Hand-picked from Jodhpur, India",FALSE,"Magnificent Shiva Sculpture, Hand-crafted, Hand-pi | Antique Furniture Co.","Primitive sculpture of painted wood with multiple deities around Shiva. depicts a wooden statue of Trivikrama, a form of Lord Vishnu.
 This statue represen",Home & Garden > Decor > Artwork > Sculptures & Statues,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
magnificent-shiva-sculpture-hand-crafted-hand-picked-from-jodhpur-india,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/magnificent-shiva-sculpture-hand-crafted-hand-picked-from-jodhpur-india-for-sale/1121189/f_226657021757340850415/22665702_datamatics.jpg?width=2000&quality=90,2,"Magnificent Shiva Sculpture, Hand-crafted, Hand-picked from Jodhpur, India - Image 2",,,,,,,,,,,,,,,,,,,,
orange-palm-beach-regency-single-bamboo-canopy-daybed,Orange Palm Beach Regency Single Bamboo Canopy Daybed,"<p>Unusual yet, conveniently contemporary canopy daybed, fits in tight spaces in a guest-room, or yoga studio! Hang your exotic fabrics for nap-time privacy! 
Orange is the color of now...</p><p><strong>Materials:</strong> Bamboo</p><p><strong>Category:</strong> Late 20th Century Asian More Asian Art, Objects and Furniture</p>",Antique Furniture Co.,Furniture > Bedroom Furniture > Beds & Bed Frames,Daybed,"Asian, 20th Century, Bamboo, Palm Beach, Regency",TRUE,Title,Default Title,,,,,ANT-DAYBED-002,30000,shopify,1,deny,manual,5500,,TRUE,TRUE,,https://a.1stdibscdn.com/orange-palm-beach-regency-single-bamboo-canopy-daybed-for-sale-picture-2/f_8899/f_418952321729015195990/TK_Opium_Bed08_master.jpg?width=2000&quality=90,1,Orange Palm Beach Regency Single Bamboo Canopy Daybed,FALSE,Orange Palm Beach Regency Single Bamboo Canopy Day | Antique Furniture Co.,"Unusual yet, conveniently contemporary canopy daybed, fits in tight spaces in a guest-room, or yoga studio! Hang your exotic fabrics for nap-time privacy! ",Furniture > Bedroom Furniture > Beds & Bed Frames,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
orange-palm-beach-regency-single-bamboo-canopy-daybed,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/orange-palm-beach-regency-single-bamboo-canopy-daybed-for-sale/f_8899/f_418952321729015061955/f_41895232_1729015062354_bg_processed.jpg?width=2000&quality=90,2,Orange Palm Beach Regency Single Bamboo Canopy Daybed - Image 2,,,,,,,,,,,,,,,,,,,,
handsome-dromedary-leather-camel,Handsome Dromedary Leather Camel,"<p>Uniquely handsome leather camel will catch your attention. Best used as novelty decor in a stark white room, like finding a cool ride in the desert! You might not know why, you've ju...</p><p><strong>Materials:</strong> Leather</p><p><strong>Category:</strong> Mid-20th Century African Animal Sculptures</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"African, 20th Century, Leather, Handsome",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-003,5000,shopify,1,deny,manual,1800,,TRUE,TRUE,,https://a.1stdibscdn.com/handsome-dromedary-leather-camel-for-sale/f_8899/f_418954021729015767784/f_41895402_1729015768274_bg_processed.jpg?width=2000&quality=90,1,Handsome Dromedary Leather Camel,FALSE,Handsome Dromedary Leather Camel | Antique Furniture Co.,"Uniquely handsome leather camel will catch your attention. Best used as novelty decor in a stark white room, like finding a cool ride in the desert! You mi",Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
woman-in-hat-by-mendez-impressionist-style-with-gold-leaf-frame,"Woman in Hat by Mendez, Impressionist Style With Gold Leaf Frame","<p>Misty painting of woman in a soft white dress with hat suggesting primary colored feathers on top. Her figure is well proportioned in the impressionist style, as if she’s caught in t...</p><p><strong>Materials:</strong> Canvas</p><p><strong>Category:</strong> Late 20th Century North American Paintings</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"20th Century, Canvas",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-004,5000,shopify,1,deny,manual,5500,,TRUE,TRUE,,https://a.1stdibscdn.com/woman-in-hat-by-mendez-impressionist-style-with-gold-leaf-frame-for-sale/f_8899/f_418979821729025445799/f_41897982_1729025446287_bg_processed.jpg?width=2000&quality=90,1,"Woman in Hat by Mendez, Impressionist Style With Gold Leaf Frame",FALSE,"Woman in Hat by Mendez, Impressionist Style With G | Antique Furniture Co.",Misty painting of woman in a soft white dress with hat suggesting primary colored feathers on top. Her figure is well proportioned in the impressionist sty,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
gold-painted-chandelier-with-draped-clear-beads,Gold Painted Chandelier with Draped Clear Beads,<p>Fun and fancy Roman style draped crystal beads adorn this gold painted 6 light candlestick chandelier.</p><p><strong>Materials:</strong> Brass</p><p><strong>Category:</strong> Vintage 1940s American Greek Revival Chandeliers and Pendants</p>,Antique Furniture Co.,Home & Garden > Lighting,Lighting,Brass,TRUE,Title,Default Title,,,,,ANT-LIGHTING-005,5000,shopify,1,deny,manual,1760,,TRUE,TRUE,,https://a.1stdibscdn.com/gold-painted-chandelier-with-draped-clear-beads-for-sale-picture-2/f_8899/f_419943121729621222333/TK_Chandelier_Brass_Glass_Beads02_master.jpg?width=2000&quality=90,1,Gold Painted Chandelier with Draped Clear Beads,FALSE,Gold Painted Chandelier with Draped Clear Beads | Antique Furniture Co.,Fun and fancy Roman style draped crystal beads adorn this gold painted 6 light candlestick chandelier.,Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
gold-painted-chandelier-with-draped-clear-beads,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/gold-painted-chandelier-with-draped-clear-beads-for-sale/f_8899/f_419943121729621201701/f_41994312_1729621202097_bg_processed.jpg?width=2000&quality=90,2,Gold Painted Chandelier with Draped Clear Beads - Image 2,,,,,,,,,,,,,,,,,,,,
large-wrought-iron-two-tier-scrolled-chandelier-with-gold-leafs,Large Wrought Iron Two Tier Scrolled Chandelier with Gold Leafs,"<p>6 Candle stick lights
Wrought Iron with antique gold leaf painted crowns &amp;  leaves
36"" chain</p><p><strong>Materials:</strong> Brass</p><p><strong>Category:</strong> Vintage 1970s French French Provincial Chandeliers and Pendants</p>",Antique Furniture Co.,Home & Garden > Lighting,Lighting,"French, Brass",TRUE,Title,Default Title,,,,,ANT-LIGHTING-006,5000,shopify,1,deny,manual,5300,,TRUE,TRUE,,https://a.1stdibscdn.com/large-wrought-iron-two-tier-scrolled-chandelier-with-gold-leafs-for-sale/f_8899/f_419946221729622544638/f_41994622_1729622545018_bg_processed.jpg?width=2000&quality=90,1,Large Wrought Iron Two Tier Scrolled Chandelier with Gold Leafs,FALSE,Large Wrought Iron Two Tier Scrolled Chandelier wi | Antique Furniture Co.,"6 Candle stick lights
Wrought Iron with antique gold leaf painted crowns &amp;  leaves
36"" chain",Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
french-crystal-marron-chandeliere-with-curved-iron-arms,French Crystal Marron Chandeliere with Curved Iron Arms,"<p>10 Low-dripping candle lighting
10"" chain
5 clear crystal pendants
Large leaf wrought iron styling</p><p><strong>Materials:</strong> Crystal, Iron</p><p><strong>Category:</strong> Late 20th Century Hollywood Regency Chandeliers and Pendants</p>",Antique Furniture Co.,Home & Garden > Lighting,Lighting,"20th Century, French, Crystal, Iron",TRUE,Title,Default Title,,,,,ANT-LIGHTING-007,5000,shopify,1,deny,manual,5590,,TRUE,TRUE,,https://a.1stdibscdn.com/french-crystal-marron-chandeliere-with-curved-iron-arms-for-sale/f_8899/f_419948321729623061998/f_41994832_1729623062515_bg_processed.jpg?width=2000&quality=90,1,French Crystal Marron Chandeliere with Curved Iron Arms,FALSE,French Crystal Marron Chandeliere with Curved Iron | Antique Furniture Co.,"10 Low-dripping candle lighting
10"" chain
5 clear crystal pendants
Large leaf wrought iron styling",Home & Garden > Lighting,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
